lat,lng
43.3480,18.8390
44.1850,19.3310
43.4470,18.7740
43.9280,18.2430
44.1820,18.9410
43.9340,19.1690
9.5600,44.0650
3.0000,42.0000
5.0000,47.0000
3.0000,46.0000
4.0000,44.0000
3.1170,43.6500
2.1170,45.4000
2.9930,45.5680
10.0000,50.0000
8.4020,48.4830
-0.3580,42.5450
0.0000,42.0000
8.1670,49.0000
7.0000,48.0000
1.8330,44.4170
2.0370,45.3440
4.0000,45.5000
3.0000,43.5000
1.3330,42.6670
-16.8370,-70.9200
-8.0000,-78.5000
-6.3330,-80.0000
-11.8500,-76.4500
-14.3330,-75.5000
-12.0510,-77.1250
-5.0000,-80.3330
42.8670,74.6000
27.0330,89.0830
27.3330,89.1830
27.0000,89.5500
27.3500,90.5330
27.5000,90.1330
27.1000,89.8670
4.8600,31.5630
-10.7280,165.9390
-6.9920,156.8630
-9.6330,160.2000
-10.5580,161.7850
-9.0970,160.2410
-8.0540,159.1370
-8.0000,157.0000
-11.6050,160.1550
-9.0000,161.0000
-2.5440,10.1350
-2.1170,11.5000
-3.9050,11.4700
0.1720,10.1090
-1.9670,11.5330
-1.5750,9.2620
1.0070,13.9590
-1.5840,14.2590
-1.7610,12.0200
-0.0500,11.9000
-2.1540,9.5900
2.0760,11.5010
-0.1780,10.7650
-3.8200,11.0200
-2.4990,10.3490
-5.1370,16.5850
4.6170,26.9150
-0.0920,11.9380
-2.4010,11.3580
0.7820,11.5490
-3.4320,10.6550
-0.6550,13.6750
-2.6440,11.6280
0.6830,14.3100
-19.5000,169.5000
-13.7500,167.5000
-17.3330,168.5000
-15.5000,168.0000
-9.4330,159.9500
-10.7170,165.8330
-8.0000,159.0000
13.5390,87.6710
-6.0000,147.0000
6.9240,158.1620
1.4210,172.9840
7.1130,171.2360
3.2000,73.0000
-8.5170,179.1450
7.7500,80.7500
-0.5170,166.9330
30.7280,76.7780
23.2550,77.4030
26.9200,75.7880
19.0730,72.8830
-7.2500,-42.3330
-10.5000,-48.0000
-18.0000,-44.0000
-12.0000,-42.0000
-20.5000,-55.0000
-5.0000,-45.0000
-15.5810,-49.6360
-13.0000,-56.0000
-24.5000,-51.3330
-22.0000,-49.0000
-15.7500,-47.7500
-21.1330,-175.2000
-15.9570,-173.7780
-18.6670,-174.0000
-19.7830,-174.4500
-15.6100,-175.6330
-21.3630,-174.9300
-21.1390,-175.2020
31.0000,36.0000
37.0500,114.5000
36.6210,105.5720
37.7670,119.1810
40.8220,122.8280
39.5170,116.6830
37.7170,115.7000
38.2500,114.1860
39.0730,114.8730
41.1210,122.0740
40.6840,122.1510
40.9730,117.9360
38.9500,117.7170
42.1820,123.1370
41.8830,123.9060
30.2770,115.8460
-2.0380,29.4920
-1.7490,29.4410
8.5670,-80.4170
9.1670,-80.0000
8.1000,-80.9830
8.4860,-81.7310
7.5830,-80.3330
9.0830,-78.9000
9.2500,-78.2500
8.3930,-82.3200
-9.4330,159.9500
55.7520,37.6160
31.4170,34.3330
6.8170,-8.7830
6.9670,-9.6330
7.3670,-10.3170
6.7330,-10.8170
